xflr5 v6.47

VTOL_SINGLE_W1_FX63137_2020
T1-25.0 m/s-Panel-0.0kg-x0.0m-Inviscid
QInf  =   25.000000 m/s
Alpha =   20.000000
Beta  =    0.000°
Phi   =    0.000°
Ctrl  =    0.000
CL    =    2.390595
Cy    =    0.000000
Cd    =    0.156097     ICd   =    0.156097     PCd   =    0.000000
Cl   = 2.87936e-15
Cm   =   -0.764391
ICn   =    0.000000     PCn   =    0.000000 
XCP   =    0.059476     YCP   =   -0.000000     ZCP   =    0.013224  
XNP   =    0.000000
Bending =   89.889536

Main Wing Cp Coefficients
 Panel     CtrlPt.x        CtrlPt.y        CtrlPt.z       Nx      Ny       Nz        Area       Cp
Main WingCp Coefficients
Strip 1
 209       1.658e-01      -8.809e-01       5.970e-04          -0.332           0.034          -0.943       1.825e-04          0.5254
 210       1.592e-01      -8.809e-01       2.253e-03          -0.209           0.022          -0.978       5.138e-04          0.5278
 211       1.464e-01      -8.809e-01       3.943e-03          -0.080           0.010          -0.997       7.944e-04          0.5698
 212       1.286e-01      -8.809e-01       4.337e-03           0.024           0.001          -1.000       1.017e-03          0.5681
 213       1.071e-01      -8.809e-01       3.036e-03           0.093          -0.004          -0.996       1.165e-03          0.5601
 214       8.373e-02      -8.809e-01       5.213e-04           0.121          -0.006          -0.993       1.218e-03          0.5683
 215       6.037e-02      -8.809e-01      -1.978e-03           0.091          -0.005          -0.996       1.165e-03          0.6284
 216       3.890e-02      -8.809e-01      -3.411e-03           0.038          -0.003          -0.999       1.018e-03          0.7611
 217       2.106e-02      -8.809e-01      -3.646e-03          -0.019          -0.002          -1.000       7.920e-04          0.9409
 218       8.295e-03      -8.809e-01      -2.872e-03          -0.125          -0.001          -0.992       5.062e-04          0.8526
 219       1.645e-03      -8.809e-01      -9.048e-04          -0.621           0.000          -0.784       2.196e-04         -2.2020
 220       1.645e-03      -8.809e-01       3.493e-03          -0.874          -0.000           0.486       3.541e-04         -9.6420
 221       8.295e-03      -8.809e-01       9.422e-03          -0.502          -0.002           0.865       5.809e-04         -5.5869
 222       2.106e-02      -8.809e-01       1.470e-02          -0.294          -0.005           0.956       8.284e-04         -3.5027
 223       3.890e-02      -8.809e-01       1.852e-02          -0.140          -0.008           0.990       1.027e-03         -2.5272
 224       6.037e-02      -8.809e-01       2.006e-02          -0.012          -0.012           1.000       1.160e-03         -1.8422
 225       8.373e-02      -8.809e-01       1.909e-02           0.092          -0.016           0.996       1.214e-03         -1.2869
 226       1.071e-01      -8.809e-01       1.588e-02           0.180          -0.021           0.983       1.180e-03         -0.8020
 227       1.286e-01      -8.809e-01       1.140e-02           0.231          -0.025           0.973       1.046e-03         -0.4325
 228       1.464e-01      -8.809e-01       6.916e-03           0.259          -0.027           0.965       8.202e-04         -0.2025
 229       1.592e-01      -8.809e-01       3.189e-03           0.312          -0.032           0.949       5.290e-04          0.0116
 230       1.658e-01      -8.809e-01       7.799e-04           0.417          -0.042           0.908       1.896e-04          0.2332
Strip 11
 231       1.711e-01      -8.280e-01       6.161e-04          -0.332           0.034          -0.943       2.046e-04          0.5305
 232       1.643e-01      -8.280e-01       2.325e-03          -0.209           0.022          -0.978       5.758e-04          0.5337
 233       1.511e-01      -8.280e-01       4.069e-03          -0.080           0.010          -0.997       8.904e-04          0.5765
 234       1.327e-01      -8.280e-01       4.476e-03           0.024           0.001          -1.000       1.140e-03          0.5763
 235       1.105e-01      -8.280e-01       3.134e-03           0.093          -0.004          -0.996       1.306e-03          0.5706
 236       8.642e-02      -8.280e-01       5.381e-04           0.121          -0.006          -0.993       1.365e-03          0.5821
 237       6.230e-02      -8.280e-01      -2.041e-03           0.091          -0.005          -0.996       1.306e-03          0.6448
 238       4.014e-02      -8.280e-01      -3.521e-03           0.038          -0.003          -0.999       1.141e-03          0.7776
 239       2.173e-02      -8.280e-01      -3.762e-03          -0.019          -0.002          -1.000       8.876e-04          0.9518
 240       8.561e-03      -8.280e-01      -2.965e-03          -0.125          -0.001          -0.992       5.674e-04          0.8213
 241       1.698e-03      -8.280e-01      -9.338e-04          -0.621           0.000          -0.784       2.461e-04         -2.4518
 242       1.698e-03      -8.280e-01       3.605e-03          -0.874          -0.000           0.486       3.969e-04        -10.1052
 243       8.561e-03      -8.280e-01       9.724e-03          -0.502          -0.002           0.865       6.511e-04         -5.7861
 244       2.173e-02      -8.280e-01       1.517e-02          -0.294          -0.005           0.956       9.285e-04         -3.6109
 245       4.014e-02      -8.280e-01       1.911e-02          -0.140          -0.008           0.990       1.151e-03         -2.6004
 246       6.230e-02      -8.280e-01       2.071e-02          -0.012          -0.012           1.000       1.300e-03         -1.8942
 247       8.642e-02      -8.280e-01       1.970e-02           0.092          -0.016           0.996       1.361e-03         -1.3230
 248       1.105e-01      -8.280e-01       1.639e-02           0.180          -0.021           0.983       1.322e-03         -0.8248
 249       1.327e-01      -8.280e-01       1.177e-02           0.231          -0.025           0.973       1.172e-03         -0.4451
 250       1.511e-01      -8.280e-01       7.138e-03           0.259          -0.027           0.965       9.193e-04         -0.2077
 251       1.643e-01      -8.280e-01       3.291e-03           0.312          -0.032           0.949       5.929e-04          0.0124
