ALO_plane__body

Right Surface Points
        x()          y()          z()
  Cross Section   1
      -0.09935170       0.03866800      -0.18269019
      -0.09935170       0.03497404      -0.18465287
      -0.09935170       0.03112945      -0.18641473
      -0.09935170       0.02713422      -0.18796774
      -0.09935170       0.02298837      -0.18930387
      -0.09935170       0.01869191      -0.19041507
      -0.09935170       0.01424483      -0.19129333
      -0.09935170       0.00964715      -0.19193060
      -0.09935170       0.00489887      -0.19231885
      -0.09935170       0.00000000      -0.19245005

  Cross Section   7
      -0.07968099       0.00000000       0.00000000
      -0.07968099       0.00490079      -0.00013441
      -0.07968099       0.00965062      -0.00053215
      -0.07968099       0.01424951      -0.00118500
      -0.07968099       0.01869746      -0.00208473
      -0.07968099       0.02299447      -0.00322310
      -0.07968099       0.02714056      -0.00459189
      -0.07968099       0.03113574      -0.00618287
      -0.07968099       0.03498001      -0.00798780
      -0.07968099       0.03867338      -0.00999847
      -0.07968099       0.04221585      -0.01220663
      -0.07968099       0.04560744      -0.01460407
      -0.07968099       0.04884814      -0.01718255
      -0.07968099       0.05193798      -0.01993384
      -0.07968099       0.05487695      -0.02284972
      -0.07968099       0.05766507      -0.02592195
      -0.07968099       0.06030234      -0.02914231
      -0.07968099       0.06278877      -0.03250256
      -0.07968099       0.06512436      -0.03599448
      -0.07968099       0.06730913      -0.03960984
      -0.07968099       0.06934308      -0.04334040
      -0.07968099       0.07122622      -0.04717795
      -0.07968099       0.07295855      -0.05111424
      -0.07968099       0.07454009      -0.05514106
      -0.07968099       0.07597084      -0.05925017
      -0.07968099       0.07725081      -0.06343334
      -0.07968099       0.07838001      -0.06768235
      -0.07968099       0.07935844      -0.07198896
      -0.07968099       0.08018611      -0.07634494
      -0.07968099       0.08086303      -0.08074207
      -0.07968099       0.08138921      -0.08517212
      -0.07968099       0.08176465      -0.08962686
      -0.07968099       0.08198937      -0.09409805
      -0.07968099       0.08206336      -0.09857747
      -0.07968099       0.08198664      -0.10305689
      -0.07968099       0.08175921      -0.10752809
      -0.07968099       0.08138109      -0.11198282
      -0.07968099       0.08085227      -0.11641287
      -0.07968099       0.08017278      -0.12081000
      -0.07968099       0.07934260      -0.12516599
