FDA-1 V0.0_scaled_2.2-wing04_DPv1_TOLD_Full_UAV_v3.1_body

Right Surface Points
        x()          y()          z()
        0.452          0.134         -0.127
        0.452          0.122         -0.136
        0.452          0.108         -0.143
        0.452          0.092         -0.150
        0.452          0.073         -0.155
        0.452          0.051         -0.159
        0.452          0.027         -0.162
        0.452          0.000         -0.164

  Cross Section  17
        0.471          0.000          0.185
        0.471          0.027          0.183
        0.471          0.052          0.180
        0.471          0.073          0.176
        0.471          0.092          0.170
        0.471          0.108          0.163
        0.471          0.122          0.155
        0.471          0.134          0.147
        0.471          0.144          0.137
        0.471          0.153          0.126
        0.471          0.159          0.115
        0.471          0.164          0.103
        0.471          0.168          0.090
        0.471          0.171          0.077
        0.471          0.173          0.063
        0.471          0.174          0.049
        0.471          0.175          0.035
        0.471          0.175          0.021
        0.471          0.175          0.006
        0.471          0.175         -0.008
        0.471          0.175         -0.022
        0.471          0.174         -0.036
        0.471          0.173         -0.050
        0.471          0.171         -0.064
        0.471          0.168         -0.077
        0.471          0.164         -0.090
        0.471          0.159         -0.102
        0.471          0.153         -0.113
        0.471          0.145         -0.124
        0.471          0.135         -0.133
        0.471          0.123         -0.142
        0.471          0.109         -0.150
        0.471          0.092         -0.157
        0.471          0.073         -0.162
        0.471          0.052         -0.167
        0.471          0.027         -0.170
        0.471          0.000         -0.171

  Cross Section  18
        0.493          0.000          0.185
        0.493          0.027          0.184
        0.493          0.052          0.181
        0.493          0.074          0.176
        0.493          0.093          0.170
        0.493          0.109          0.164
        0.493          0.123          0.156
        0.493          0.135          0.147
        0.493          0.145          0.137
        0.493          0.153          0.126
        0.493          0.160          0.114
        0.493          0.165          0.102
        0.493          0.169          0.089
        0.493          0.172          0.076
        0.493          0.174          0.062
        0.493          0.175          0.048
        0.493          0.176          0.033
        0.493          0.176          0.019
        0.493          0.176          0.004
        0.493          0.176         -0.011
        0.493          0.176         -0.025
        0.493          0.175         -0.040
        0.493          0.174         -0.054
        0.493          0.172         -0.067
        0.493          0.169         -0.081
        0.493          0.166         -0.094
        0.493          0.160         -0.106
        0.493          0.154         -0.117
        0.493          0.145         -0.128
        0.493          0.135         -0.138
        0.493          0.123         -0.147
        0.493          0.109         -0.155
        0.493          0.093         -0.162
        0.493          0.074         -0.168
        0.493          0.052         -0.172
        0.493          0.028         -0.175
        0.493          0.000         -0.177

  Cross Section  19
        0.519          0.000          0.186
        0.519          0.028          0.184
        0.519          0.052          0.181
        0.519          0.074          0.176
        0.519          0.093          0.171
        0.519          0.109          0.164
        0.519          0.124          0.156
        0.519          0.136          0.146
        0.519          0.146          0.136
        0.519          0.154          0.125
        0.519          0.161          0.114
        0.519          0.166          0.101
        0.519          0.170          0.088
        0.519          0.173          0.075
        0.519          0.175          0.061
        0.519          0.176          0.046
        0.519          0.177          0.032
        0.519          0.177          0.017
        0.519          0.177          0.002
        0.519          0.177         -0.012
        0.519          0.177         -0.027
        0.519          0.176         -0.042
        0.519          0.175         -0.056
        0.519          0.173         -0.070
        0.519          0.170         -0.084
        0.519          0.166         -0.097
        0.519          0.161         -0.109
        0.519          0.154         -0.121
        0.519          0.146         -0.132
        0.519          0.136         -0.142
        0.519          0.124         -0.151
        0.519          0.110         -0.159
        0.519          0.093         -0.166
        0.519          0.074         -0.172
        0.519          0.052         -0.176
        0.519          0.028         -0.179
        0.519          0.000         -0.181

  Cross Section  20
        0.550          0.000          0.186
        0.550          0.028          0.184
        0.550          0.052          0.181
        0.550          0.074          0.177
